meta_id,meta_source,meta_created,meta_updated,id,documents,approval_type,supplement_number,action_date,fda_application_num,notes
2827ddb7b5c14498a9c39e01de2816ab,,2016-07-25T19:48:57.742105+00:00,2016-07-25T19:48:57.742105+00:00,NDA022315-009,"[{""name"": ""Label"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/label/2014/022315s009lbl.pdf""]}, {""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2014/022315Orig1s009ltr.pdf""]}]",New or Modified Indication,9,2014-06-28,NDA022315,
3114219eb6564c629d058f728dd3fa52,,2016-07-25T19:48:57.755905+00:00,2016-07-25T19:48:57.755905+00:00,NDA022315-003,"[{""name"": ""Label"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/label/2010/022315s003lbl.pdf""]}, {""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2010/022315s003ltr.pdf""]}]",New or Modified Indication,3,2010-09-24,NDA022315,
d4f6206284f9439ba1047b20b0f1dbea,,2016-07-25T19:49:42.757023+00:00,2016-07-25T19:49:42.757023+00:00,NDA020239-008,"[{""name"": ""Label"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/label/2002/21239s8lbl.pdf""]}, {""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2002/20239se1-008ltr.pdf""]}]",New or Modified Indication,8,2002-08-16,NDA020239,
839a09e88ef14ddea57277024e76940f,,2016-07-25T19:49:40.898072+00:00,2016-07-25T19:49:40.898072+00:00,NDA020305-004,"[{""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1999/20103s4ltr.pdf""]}, {""name"": ""Approval Letter(s)"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/020305S004_Kytril_appltr.pdf""]}, {""name"": ""Part 1"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/020305S004_Kytril_medr_P1.pdf"", ""http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/020305S004_Kytril_medr_P2.pdf"", ""http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/020305S004_Kytril_medr_P3.pdf"", ""http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/020305S004_Kytril_medr_P4.pdf""]}, {""name"": ""Part 1"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/020305S004_Kytril_statr_P1.pdf"", ""http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/020305S004_Kytril_statr_P2.pdf""]}, {""name"": ""Administrative Document(s)/Correspondence"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/020305S004_Kytril_admindocs_corres.pdf""]}]",New or Modified Indication,4,1999-07-27,NDA020305,Label is not available
ee088d5b38454005871a191e034cf0a9,,2016-07-25T19:53:02.341306+00:00,2016-07-25T19:53:02.341306+00:00,NDA007529-010,[],New or Modified Indication,10,1991-06-12,NDA007529,Label is not available
02bdaefef26147968296b6e3fa52d94a,,2016-07-25T19:59:17.904528+00:00,2016-07-25T19:59:17.904528+00:00,NDA017684-009,[],New or Modified Indication,9,1986-06-10,NDA017684,Label is not available
312467e08bbd48aba33f0874b5008942,,2016-07-25T20:02:47.679342+00:00,2016-07-25T20:02:47.679342+00:00,NDA011839-068,"[{""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/11839S68LTR.PDF""]}, {""name"": ""Review"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/11839-S068_Provera.pdf""]}]",New or Modified Indication,68,1998-08-04,NDA011839,Label is not available
e4d3e6532f3d4d6ca064861730bc432b,,2016-07-25T20:02:54.484990+00:00,2016-07-25T20:02:54.484990+00:00,NDA020503-004,"[{""name"": ""Label"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/label/1998/20503s4lbl.pdf""]}, {""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/20503s4ltr.pdf""]}, {""name"": ""Review"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/20503-S004_Proventil.pdf""]}]",New or Modified Indication,4,1998-09-23,NDA020503,
fe3b10c6ef72419cae31a5941ce41c76,,2016-07-25T20:02:46.473366+00:00,2016-07-25T20:02:46.473366+00:00,NDA020717-008,"[{""name"": ""Label"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/label/2004/20717se1-008_provigil_lbl.pdf""]}, {""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2004/20717se1-008ltr.pdf""]}]",New or Modified Indication,8,2004-01-23,NDA020717,
fa2c8adfba484234a66b3d8b3a808dbd,,2016-07-25T20:02:54.483430+00:00,2016-07-25T20:02:54.483430+00:00,NDA020503-011,"[{""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1999/20503s11ltr.pdf""]}, {""name"": ""Review"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/20503-S011_Proventil.pdf""]}]",New or Modified Indication,11,1999-06-02,NDA020503,Label is not available
8129a3dcf7954df6b62ad1f407b7944d,,2016-07-27T02:33:25.699594+00:00,2016-07-25T20:03:34.189782+00:00,NDA018936-004,[],New or Modified Indication,4,1996-11-21,NDA018936,Label is not available
0107cd1455d347ab99d8280b592d6d7d,,2016-07-27T02:33:25.665297+00:00,2016-07-25T20:03:34.155756+00:00,NDA018936-058,"[{""name"": ""Label"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/label/2000/18936S58LBL.PDF""]}, {""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2000/18936S58LTR.PDF""]}]",New or Modified Indication,58,2000-07-06,NDA018936,
