meta_id,id,documents,approval_type,supplement_number,fda_application_num,notes
2827ddb7b5c14498a9c39e01de2816ab,NDA022315-009,"[{""name"": ""Label"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/label/2014/022315s009lbl.pdf""]}, {""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2014/022315Orig1s009ltr.pdf""]}]",New or Modified Indication,9,NDA022315,
3114219eb6564c629d058f728dd3fa52,NDA022315-003,"[{""name"": ""Label"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/label/2010/022315s003lbl.pdf""]}, {""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2010/022315s003ltr.pdf""]}]",New or Modified Indication,3,NDA022315,
d4f6206284f9439ba1047b20b0f1dbea,NDA020239-008,"[{""name"": ""Label"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/label/2002/21239s8lbl.pdf""]}, {""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2002/20239se1-008ltr.pdf""]}]",New or Modified Indication,8,NDA020239,
839a09e88ef14ddea57277024e76940f,NDA020305-004,"[{""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1999/20103s4ltr.pdf""]}, {""name"": ""Approval Letter(s)"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/020305S004_Kytril_appltr.pdf""]}, {""name"": ""Part 1"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/020305S004_Kytril_medr_P1.pdf"", ""http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/020305S004_Kytril_medr_P2.pdf"", ""http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/020305S004_Kytril_medr_P3.pdf"", ""http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/020305S004_Kytril_medr_P4.pdf""]}, {""name"": ""Part 1"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/020305S004_Kytril_statr_P1.pdf"", ""http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/020305S004_Kytril_statr_P2.pdf""]}, {""name"": ""Administrative Document(s)/Correspondence"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/020305S004_Kytril_admindocs_corres.pdf""]}]",New or Modified Indication,4,NDA020305,Label is not available
312467e08bbd48aba33f0874b5008942,NDA011839-068,"[{""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/11839S68LTR.PDF""]}, {""name"": ""Review"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/11839-S068_Provera.pdf""]}]",New or Modified Indication,68,NDA011839,Label is not available
e4d3e6532f3d4d6ca064861730bc432b,NDA020503-004,"[{""name"": ""Label"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/label/1998/20503s4lbl.pdf""]}, {""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/20503s4ltr.pdf""]}, {""name"": ""Review"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/20503-S004_Proventil.pdf""]}]",New or Modified Indication,4,NDA020503,
fe3b10c6ef72419cae31a5941ce41c76,NDA020717-008,"[{""name"": ""Label"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/label/2004/20717se1-008_provigil_lbl.pdf""]}, {""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2004/20717se1-008ltr.pdf""]}]",New or Modified Indication,8,NDA020717,
fa2c8adfba484234a66b3d8b3a808dbd,NDA020503-011,"[{""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1999/20503s11ltr.pdf""]}, {""name"": ""Review"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/20503-S011_Proventil.pdf""]}]",New or Modified Indication,11,NDA020503,Label is not available
0107cd1455d347ab99d8280b592d6d7d,NDA018936-058,"[{""name"": ""Label"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/label/2000/18936S58LBL.PDF""]}, {""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2000/18936S58LTR.PDF""]}]",New or Modified Indication,58,NDA018936,
ba3e1904b5d2460095145aa80e391c7a,NDA020988-003,"[{""name"": ""Label"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/label/2001/20988s3lbl.pdf""]}, {""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2001/20988s3ltr.pdf""]}]",New or Modified Indication,3,NDA020988,
aed1f25fc9504a9a850f88fcd1d4adb5,NDA020987-001,"[{""name"": ""Label"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/label/2001/020987S1S2lbl.pdf""]}, {""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2001/20987S1S2ltr.pdf""]}]",New or Modified Indication,1,NDA020987,
5f39a692772c436ebde0ff5f30770a8b,NDA020180-016,"[{""name"": ""Review"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/20180-S015&16_PROSCAR.PDF""]}]",New or Modified Indication,16,NDA020180,Label is not available
3e955390085349c7ac57863dc23cc97c,NDA020987-007,"[{""name"": ""Label"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/label/2002/20987s7lbl.pdf""]}, {""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2002/20987s007.pdf""]}, {""name"": ""Approval Letter(s)"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/20-987S007_Protonix_Approv.pdf""]}, {""name"": ""Printed Labeling"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/20-987S007_Protonix_prntlbl.pdf""]}, {""name"": ""Medical Review(s)"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/20-987S007_Protonix_medr.pdf""]}, {""name"": ""Chemistry Review(s)"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/20-987S007_Protonix_chemr.pdf""]}, {""name"": ""Environmental Assessment"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/20-987S007_Protonix_EAfonsi.pdf""]}, {""name"": ""Administrative Document(s)"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/20-987S007_Protonix_admindocs.pdf""]}, {""name"": ""Correspondence"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/20-987S007_Protonix_corres.pdf""]}]",New or Modified Indication,7,NDA020987,
00e540d4a0184733aa3d6d39da0baa4b,NDA022291-008,"[{""name"": ""Label"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/022291s008lbl.pdf""]}, {""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2012/022291Orig1s008ltr.pdf""]}]",New or Modified Indication,8,NDA022291,
f3e7d61c7b2d4cf5a18e482ec2efe6c5,NDA050709-019,"[{""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2006/050708s024, 050709s019ltr.pdf""]}]",New or Modified Indication,19,NDA050709,Label is not available
9b693c3f3018416d81bafb4129372d7c,NDA050708-024,"[{""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2006/050708s024, 050709s019ltr.pdf""]}]",New or Modified Indication,24,NDA050708,Label is not available
e236b8d723fa476f9672fa3137d0e839,NDA021457-003,"[{""name"": ""Label"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/label/2006/021457s003lbl.pdf""]}]",New or Modified Indication,3,NDA021457,
e14e59ee0ac74ba2953a58762797c2bc,NDA021992-033,"[{""name"": ""Label"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/label/2013/021992s033s036lbl.pdf""]}, {""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2013/021992Orig1s033,s036ltr.pdf""]}]",New or Modified Indication,33,NDA021992,
c84cec728df94b9c8808605c376763a3,NDA019810-036,"[{""name"": ""Review"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/96/019810ap.pdf""]}]",New or Modified Indication,36,NDA019810,Label is not available
